Title;AlternateTitle;PageNumber;Key;Composer
African Flower;Petite Fleur Africaine;10;Ebm;Duke Ellington;;
Afro Blue;;11;Fm;Mongo Santamaria;;
Afternoon In Paris;;12;C;John Lewis
Airegin;;13;Ab;Sonny Rollins
Agua De Beber;Water To Drink;14;Am;Antonio Carlos Jobim
Alfie;;16;C;Burt Bacharach
Alice In Wonderland;;17;C;Sammy Fain
All Blues;;18;G;Miles Davis
All By Myself;;19;C;Eric Carmen
All Of Me;;20;C;Seymour Simons
All Of You;;21;Eb;Cole Porter
All The Things You Are;;22;Ab;Jerome Kern
Always;;23;F;Irving Berlin
Alright Okay You Win;;24;Eb;Sid Wyche
Ana Maria;;26;n.a.;Wayne Shorter
Angel Eyes;;28;Eb;Matt Dennis
Anthropology;;29;Bb;Charlie Parker
Apple Honey;;30;Bb;Woody Herman
April In Paris;;32;C;Vernon Duke
April Joy;;33;C;Pat Metheny
Arise Her Eyes;;34;C;Steve Swallow
Armageddon;;36;n.a.;Wayne Shorter
Au Privave;;37;F;Charlie Parker
Autumn In New York;;38;F;Vernon Duke
Autumn Leaves;Les feuilles mortes;39;G;Joseph Kosma
Beautiful Love;;40;F;Wayne King|Victor Young|van Alstyne
Beauty And The Beast;;41;C;Wayne Shorter
Bessie's Blues;;42;Eb;John Coltrane
Bewitched;;43;C;Richard Rodgers
Big Nick;;44;G;John Coltrane
Black Coffee;;45;F;Sonny Burke
Black Diamond;;46;F;Roland Kirk
Black Narcissus;;47;C;Joe Henderson
Black Nile;;48;F;Wayne Shorter
Black Orpheus;Manha Da Carnaval;49;Am;Luiz Bonfa
Blue Bossa;;50;Eb;Kenny Dorham
Blue In Green;;51;C;Miles Davis
Blue Monk;;52;Bb;Thelonious Monk
Blue Room, The;;53;F;Richard Rodgers
Blue Train;;54;Eb;John Coltrane
Blues For Alice;;55;F;Charlie Parker
Bluesette;;56;Bb;Toots Thielemans
Body And Soul;;57;Db;Johnny Green
Boplicity;;58;F;Miles Davis
Bright Size Life;;59;Db;Pat Metheny
Broad Way Blues;;60;Eb;Ornette Coleman
Broadway;;61;Eb;Bill Byrd
But Beautiful;;62;G;Jimmy Van Heusen
Butterfly;;63;C;Herbie Hancock
Byrd Like;;64;F;Freddie Hubbard
C'est Si Bon;;65;Bb;Henri Betti
Call Me;;66;C;Giorgio Moroder
Call Me Irresponsible;;67;C;Jimmy Van Heusen
Can't Help Lovin' Dat Man;;68;Eb;Jerome Kern
Central Park West;;69;H;John Coltrane
Captain Marvel;;70;n.a.;Chick Corea
Ceora;;72;Ab;Lee Morgan
Chelsea Bells;;73;n.a.;Steve Swallow
Chega De Saudade;No More Blues;74;F;Antonio Carlos Jobim
Chelsea Bridge;;76;Db;Billy Strayhorn
Cherokee;Indian Love Song;77;Bb;Ray Noble
Cherry Pink And Apple Blossom White;;78;Eb;Marcel Louiguy
A Child Is Born;;79;Bb;Thad Jones
Chippie;;80;F;Ornette Coleman
Chitlins Con Carne;;81;C;Kenny Burrell
Come Sunday;;82;Bb;Duke Ellington
Como En Vietnam;;83;Db;Steve Swallow
Con Alma;;84;C;Dizzy Gillespie
Conception;;86;Db;George Shearing
Confirmation;;87;F;Charlie Parker
Contemplation;;88;Eb;McCoy Tyner
Coral;;89;Bb;Keith Jarrett
Cotton Tail;;90;Bb;Duke Ellington
Could It Be You;;91;Bb;Cole Porter
Countdown;;92;C;John Coltrane
Crescent;;93;Eb;John Coltrane
Crystal Silence;;94;Am;Chick Corea
D Natural Blues;;95;D;Wes Montgomery
Daahoud;;96;Eb;Clifford Brown
Dancing On The Ceiling;;98;F;Richard Rodgers
Darn That Dream;;99;G;Jimmy Van Heusen
Day Waves;;100;C;Chick Corea
Days And Nights Waiting;;101;C;Keith Jarrett
Dear Old Stockholm;;102;F;Traditional
Dearly Beloved;;103;C;Jerome Kern
Dedicated To You;;104;Bb;Sammy Cahn
Detour Ahead;;105;C;Herb Ellis
Deluge;;106;C;Wayne Shorter
Desafinado;;108;F;Antonio Carlos Jobim
Desert Air;;110;C;Chick Corea
Dexterity;;112;Bb;Charlie Parker
Dizzy Atmosphere;;113;Ab;Dizzy Gillespie
Django;;114;Ab;John Lewis
Doin' The Pig;;116;G;Steve Swallow
Dolores;;118;n.a.;Louis Alter
Dolphin Dance;;119;n.a.;Herbie Hancock
Domino Biscuit;;120;Db;Steve Swallow
Don't Blame Me;;121;C;Jimmy McHugh
Don't Get Around Much Anymore;;122;C;Duke Ellington
Donna Lee;;123;Ab;Charlie Parker
Dream A Little Dream Of Me;;124;G;Fabian Andre|Wilbur Schwandt
Dreamsville;;125;C;Henry Mancini
Easter Parade;;126;Bb;Irving Berlin
Easy Living;;127;F;Leo Robin
Easy To Love;;128;C;Cole Porter
Ecclusiastics;;129;F;Charles Mingus
Eighty One;;130;F;Ron Carter
El Gaucho;;131;C;Wayne Shorter
Epistrophy;;132;C;Thelonious Monk
Equinox;;133;E;John Coltrane
Equipoise;;134;Ab;Stanley Cowell
E.S.P.;;135;C;Wayne Shorter
Fall;;136;C;Wayne Shorter
Falling Grace;;137;C;Steve Swallow
Falling In Love With Love;;138;Bb;Richard Rodgers
Fee-Fi-Fo-Fum;;139;n.a.;Wayne Shorter
A Fine Romance;;140;C;Jerome Kern
500 Miles High;;141;n.a.;Chick Corea
502 Blues;;142;Am;Wayne Shorter
Follow Your Heart;;143;E;John McLaughlin
Footprints;;144;Eb;Wayne Shorter
For All We Know;;145;Eb;J. Fred Coots
For Heaven's Sake;;146;F;Don Meyer
For Sentimental Reasons;I Love You For Sentimental Reasons;147;F;William Best|Deek Watson
Forest Flower.;;148;C;Charles F. Lloyd
Four;;149;Eb;Miles Davis
Four On Six;;150;C;Wes Montgomery
Freddie Freeloader;;151;Bb;Miles Davis
Freedom Jazz Dance;;152;Bb;Eddie Harris
Gee Baby Ain't I Good To You;;153;Eb;Andy Razaf
Full House;;154;Ab;David Sanborn
Gemini;;156;Eb;Jimmy Heath
Giant Steps;;157;n.a.;John Coltrane
Girl From Ipanema, The;;158;F;Antonio Carlos Jobim
Gloria's Step;;159;n.a.;Scott La Faro
God Bless The Child;;160;Eb;Arthur Jr. Herzog
Golden Lady;;161;Eb;Stevie Wonder
Good Evening Mr. And Mrs. America;;162;C;John Guerin
Grand Central;;164;Ab;John Coltrane
Green Mountains, The;;165;C;Steve Swallow
Groovin' High;;166;Eb;Dizzy Gillespie
Grow Your Own;;167;F;Keith Jarrett
Guilty;;168;Bb;Barry Gibb
Gypsy In My Soul;;169;Eb;Moe Jaffe
Half Nelson;;170;C;Miles Davis
Have You Met Miss Jones?;;172;F;Richard Rodgers
Heaven;;173;Bb;Duke Ellington
Heebie Jeebies;;174;G;Boyd Atkins
Here's That Rainy Day;;175;G;Jimmy Van Heusen
Hello Young Lovers;;176;C;Richard Rodgers
Hot Toddy;;178;F;Herb Hendler
House Of Jade;;179;Eb;Wayne Shorter
How High The Moon;;180;C;Morgan Lewis
How Insensitive;;181;F;Antonio Carlos Jobim
How My Heart Sings;;182;C;Earl Zindars
Hullo Bolinas;;183;C;Steve Swallow
I Can't Get Started With You;;184;C;Vernon Duke
I Can't Give You Anything But Love;;185;G;Jimmy McHugh
I Could Write A Book;;186;C;Richard Rodgers
I Got It Bad And That Ain't Good;;187;G;Duke Ellington
I Let A Song Go Out Of My Heart;;188;Eb;Duke Ellington
I Love Paris;;189;Eb;Cole Porter
I Love You;;190;F;Cole Porter
I Mean You;;191;F;Thelonious Monk
I Remember Clifford;;192;Eb;Benny Golson
I Should Care;;194;C;Sammy Cahn
I Wish I Knew How It Would Feel To Be Free;;195;F;Billy Taylor
I'll Never Smile Again;;196;Eb;Ruth Lowe
I'll Remember April;;197;G;Raye-DePaul
I'm All Smiles;;198;D;Michel LeGrand
I'm Beginning To See The Light;;200;G;Duke Ellington
I'm Your Pal;;201;C;Steve Swallow
Icarus;;202;G;Ralph Towner
If You Never Come To Me;;204;C;Antonio Carlos Jobim
Impressions;;205;C;John Coltrane
In A Mellow Tone;;206;Ab;Duke Ellington
In A Sentimental Mood;;207;F;Duke Ellington
In The Mood;;208;Ab;Joe Garland
In The Wee Small Hours Of The Morning;;210;C;David Mann
In Your Quiet Place;;211;C;Keith Jarrett
Inch Worm, The;;212;F;Frank Loesser
Indian Lady;;213;A;Don Ellis
Inner Urge;;214;C;Joe Henderson
Interplay;;215;Ab;Bill Evans
Intrepid Fox, The;;216;C;Freddie Hubbard
Invitation;;217;Eb;Bronislau Kaper
Iris;;218;C;John Rzeznik
Isn't It Romantic?;;219;Eb;Richard Rodgers
Is You Is Or Is You Ain't (ma' Baby);;220;Ab;Louis Jordan
Isotope;;222;C;Joe Henderson
Israel;;223;Dm;John Carisi
It Don't Mean A Thing (If It Ain't Got That Swing);;224;Bb;Duke Ellington
It's Easy To Remember;;225;Eb;Richard Rodgers
Jelly Roll;;226;Ab;Charles Mingus
Jordu;;227;Eb;Duke Jordan
Journey To Recife;;228;Eb;Bill Evans
Joy Spring;;229;F;Clifford Brown
Juju;;230;C;Wayne Shorter
June In January;;231;Eb;Leo Robin
Jump Monk;;232;Ab;Charles Mingus
Just One More Chance;;234;G;Arthur Johnston
Lady Bird;;235;C;Tadd Dameron
Kelo;;236;Ab;J. J. Johnson
Lady Sings The Blues;;238;Ab;Herbert Nichols
Lament;;239;F;J. J. Johnson
Las Vegas Tango;;240;G;Bill Evans
Lazy Bird;;241;G;John Coltrane
Lazy River;;242;F;Hoagy Carmichael
Like Someone In Love;;243;Eb;Jimmy Van Heusen
Limehouse Blues;;244;Ab;Philip Braham
Little Boat;;245;Bb;Roberto Menescal
Lines And Spaces;;246;Bb;Lovano,Joe
Litha;;248;C;Chick Corea
Little Waltz;;250;Ab;Ron Carter
Long Ago (and Far Away);;251;F;Jerome Kern
Lonnie's Lament;;252;Eb;John Coltrane
Look To The Sky;;253;Eb;Antonio Carlos Jobim
Love Is The Sweetest Thing;;254;D;Ray Noble
Lucky Southern;;255;D;Keith Jarrett
Lullaby Of Birdland;;256;Ab;George Shearing
Magician In You, The;;257;C;Keith Jarrett
Lush Life;;258;Db;Billy Strayhorn
Mahjong;;260;Ab;Wayne Shorter
Maiden Voyage;;261;C;Herbie Hancock
A Man And A Woman;;262;D;Jerry Keller
Man In The Green Shirt;;264;C;Joe Zawinul
Meditation;;266;C;Antonio Carlos Jobim
Memories Of Tomorrow;;267;Am;Keith Jarrett
Michelle;;268;Ab;John Lennon
Midnight Mood;;269;Db;Joe Zawinul
Midwestern Nights Dream;;270;D;Pat Metheny
Milano;;272;C;John Lewis
Minority;;273;Ab;Gigi Gryce
Miss Ann;;274;C;Eric Dolphy
Missouri Uncompromised;;275;A;Pat Metheny
Mr. P.C.;;276;Eb;John Coltrane
Misty;;277;Eb;Erroll Garner
Miyako;;278;C;Wayne Shorter
Mood Indigo;;279;Ab;Duke Ellington
Moment's Notice;;280;Eb;John Coltrane
Moonchild;;282;E;Keith Jarrett
Most Beautiful Girl In The World, The;;283;F;Richard Rodgers
My Buddy;;284;G;Walter Donaldson
My Favorite Things;;285;G;Richard Rodgers
My Foolish Heart;;286;Bb;Victor Young
My Funny Valentine;;287;Eb;Richard Rodgers
My One And Only Love;;288;C;Guy Wood
My Romance;;289;Bb;Richard Rodgers
My Shining Hour;;290;Eb;Harold Arlen
My Ship;;291;C;Kurt Weill
My Way;;292;C;Claude Francois
Naima;;293;Ab;John Coltrane
Mysterious Traveller;;294;C;Wayne Shorter
Nardis;;296;G;Miles Davis
Nefertiti;;297;C;Wayne Shorter
Never Will I Marry;;298;Bb;Frank Loesser
Nica's Dream;;299;Ab;Horace Silver
Night Dreamer;;300;C;Wayne Shorter
Night Has A Thousand Eyes, The;;301;C;Jerry Brainin
A Night In Tunisia;;302;F;Dizzy Gillespie
Nobody Knows You When You're Down And Out;;303;F;Jimmie Cox
Night Train;;304;Bb;Jimmy Forrest
Nostalgia In Times Square;;306;F;Charles Mingus
Nuages;;307;G;Django Reinhardt
Old Man From The Old Country;;308;Eb;Nat Adderley
Oleo;;309;Bb;Sonny Rollins
Oliloqui Valley;;310;C;Herbie Hancock
Once I Loved;;311;F;Antonio Carlos Jobim
Once In Love With Amy;;312;G;Frank Loesser
One Finger Snap;;313;C;Herbie Hancock
One Note Samba;;314;Bb;Antonio Carlos Jobim
Only Trust Your Heart;;315;C;Benny Carter
Orbits;;316;C;Wayne Shorter
Ornithology;;317;G;Charlie Parker
Out Of Nowhere;;318;G;Johnny Green
Paper Doll;;319;F;J. Black
Passion Dance;;320;C;McCoy Tyner
Passion Flower;;321;G;Billy Strayhorn
Peace;;322;Bb;J. J. Zachary
Peggy's Blue Skylight;;323;Db;Charles Mingus
Pent Up House;;324;G;Sonny Rollins
Penthouse Serenade;;325;C;Will Jason
Peri's Scope;;326;C;Bill Evans
Pfrancing (no Blues);;327;F;Miles Davis
Pinocchio;;328;C;Wayne Shorter
Pithecanthropus Erectus;;329;Ab;Charles Mingus
Portsmouth Figurations;;330;G;Steve Swallow
Prelude To A Kiss;;331;C;Duke Ellington
Prince Of Darkness;;332;C;Wayne Shorter
P.S.I Love You;;333;Eb;Gordon Jenkins
Pussy Cat Dues;;334;D;Charles Mingus
Quiet Nights Of Quiet Stars;Corcovado;335;C;Antonio Carlos Jobim
Quiet Now;;336;C;Denny Zeitlin
Recorda-Me;;337;C;Joe Henderson
Red Clay;;338;Eb;Freddie Hubbard
Reflections;;339;Ab;Thelonious Monk
Ring Dem Bells;;340;C;Duke Ellington
Reincarnation Of A Lovebird;;342;Bb;Charles Mingus
Road Song;;344;Bb;Wes Montgomery
Round Midnight;;345;Eb;Thelonious Monk
Ruby, My Dear;;346;Ab;Thelonious Monk
Saga Of Harrison Crabfeathers, The;;348;C;Steve Kuhn
Satin Doll;;349;C;Duke Ellington
Scotch And Soda;;350;Eb;Dave Guard
Scrapple From The Apple;;351;F;Charlie Parker
Sea Journey;;352;Am;Chick Corea
Seven Come Eleven;;354;Ab;Benny Goodman
Sidewinder;;355;Eb;Lee Morgan
Seven Steps To Heaven;;356;F;Victor Feldman
Silver Hollow;;357;D;Jack DeJohnette
Sirabhorn;;358;C;Pat Metheny
Skating In Central Park;;360;C;John Lewis
So Nice;Summer Samba;362;F;Marco Valles
Solar;;363;Eb;Miles Davis
So What;;364;C;Miles Davis
Solitude;;366;Eb;Duke Ellington
Some Day My Prince Will Come;;367;Bb;Larry Morey
Some Other Spring;;368;C;Arthur Jr. Herzog
Somebody Loves Me;;369;F;George Gershwin
Some Skunk Funk;;370;Bb;Randy Brecker
Sometime Ago;;372;C;Sergio Mihanovich
Song For My Father;;373;Ab;Horace Silver
Song Is You, The;;374;C;Jerome Kern
Sophisticated Lady;;376;Ab;Duke Ellington
Sorcerer, The;;377;C;Herbie Hancock
Speak No Evil;;378;Eb;Wayne Shorter
Sphinx, The;;379;A;Ornette Coleman
Standing On The Corner;;380;F;Frank Loesser
Star-Crossed Lovers, The;;381;Db;Strayhorn-Ellington
Stella By Starlight;;382;Bb;Victor Young
Steps;;383;Eb;Chick Corea
Stolen Moments;;384;Eb;Oliver Nelson
Stompin' At The Savoy;;385;Db;Webb|Goodman|Sampson
Straight No Chaser;;386;Bb;Thelonious Monk
Sugar;;387;Ab;George W. Meyer
A String Of Pearls;;388;C;Jerry Gray
Stuff;;390;C;Miles Davis
A Sunday Kind Of Love;;392;F;Barbara Belle
Surrey With The Fringe On Top, The;;393;Bb;Richard Rodgers
Swedish Pastry;;394;C;Barney Kessel
Sweet Georgia Bright;;395;C;Charles F. Lloyd
Sweet Henry;;396;D;Jack Gregg
Take Five;;397;Ebm;Paul Desmond
Take The 'A' Train;;398;C;Duke Ellington
Thanks For The Memory;;399;F;Leo Robin
Tame Thy Pen;;400;C;Richard Niles
Tell Me A Bedtime Story;;402;C;Herbie Hancock
That's Amore;;404;Bb;Harry Warren
There Is No Greater Love;;406;Bb;Isham Jones
There Will Never Be Another You;;407;Eb;Harry Warren
There'll Be Some Changes Made;;408;Bb;W.Benton Overstreet
They Didn't Believe Me;;409;G;Jerome Kern
Think On Me;;410;C;George Cables
Thou Swell;;411;Eb;Richard Rodgers
Three Flowers;;412;Eb;McCoy Tyner
Time Remembered;;413;C;Bill Evans
Tones For Joan's Bones;;414;D;Chick Corea
Topsy;;415;F;Edgar Battle
Tour De Force;;416;Ab;Dizzy Gillespie
Triste;;417;Bb;Antonio Carlos Jobim
Tune Up;;418;D;Miles Davis
Turn Out The Stars;;419;C;Bill Evans
Twisted Blues;;420;Db;Wes Montgomery
Uniquity Road;;421;n.a.;Pat Metheny
Unchain My Heart;;422;Am;Bobby Sharp
Unity Village;;424;Am;Pat Metheny
Up Jumped Spring;;425;Bb;Freddie Hubbard
Upper Manhattan Medical Group;;426;Db;Billy Strayhorn
Valse Hot;;427;Ab;Sonny Rollins
Very Early;;428;C;Bill Evans
Virgo;;429;C;Wayne Shorter
Wait Till You See Her;;430;Eb;Richard Rodgers
Wave;;431;D;Antonio Carlos Jobim
Waltz For Debby;;432;F;Bill Evans
We'll Be Together Again;;434;C;Carl Fischer
Well You Needn't;;435;F;Thelonious Monk
West Coast Blues;;436;Bb;Wes Montgomery
What Am I Here For?;;437;Bb;Duke Ellington
What Was;;438;C;Chick Corea
When I Fall In Love;;439;Bb;Victor Young
When Sunny Gets Blue;;440;F;Marvin Fisher
When You Wish Upon A Star;;441;C;Leigh Harline
Whispering;;442;Eb;John Schonberger
Windows;;443;C;Chick Corea
Wild Flower;;444;C;Wayne Shorter
Witch Hunt;;446;Eb;Wayne Shorter
Woodchopper's Ball;;447;Db;Woody Herman
Wives And Lovers;;448;Eb;Burt Bacharach
Woodyn' You;;450;Db;Dizzy Gillespie
World Is Waiting For The Sunrise, The;;451;C;Ernest Seitz
Yes And No;;452;C;Wayne Shorter
Yesterday;;453;F;Lennon|McCartney
Yesterdays;;454;F;Jerome Kern
You Are Too Beautiful;;455;C;Richard Rodgers
You Are The Sunshine Of My Life;;456;C;Stevie Wonder
You Brought A New Kind Of Love To Me;;458;Ab;Sammy Fain
You Don't Know What Love Is;;459;Ab;Don Raye
You Took Advantage Of Me;;460;Eb;Richard Rodgers
Young At Heart;;461;Bb;Johnny Richards
You're Nobody 'til Somebody Loves You;;462;G;Morgan|Stock|Cavanaugh
